"Año";"Periodo";"Agua embalsada"
"2013";"Semana 5";"35.774"
"2013";"Semana 6";"36.106"
"2013";"Semana 7";"36.520"
"2013";"Semana 8";"37.267"
"2013";"Semana 9";"37.497"
"2013";"Semana 10";"40.684"
"2013";"Semana 11";"42.371"
"2013";"Semana 12";"43.147"
"2013";"Semana 13";"45.327"
"2013";"Semana 14";"46.408"
"2013";"Semana 15";"46.796"
"2013";"Semana 16";"47.040"
"2013";"Semana 17";"47.117"
"2013";"Semana 18";"47.469"
"2013";"Semana 19";"47.392"
"2013";"Semana 20";"47.441"
"2013";"Semana 21";"47.444"
"2013";"Semana 22";"47.306"
"2013";"Semana 23";"47.091"
"2013";"Semana 24";"46.877"
"2013";"Semana 25";"46.585"
"2013";"Semana 26";"46.150"
"2013";"Semana 27";"45.462"
"2013";"Semana 28";"44.754"
"2013";"Semana 29";"44.195"
"2013";"Semana 30";"43.234"
"2013";"Semana 31";"42.405"
"2013";"Semana 32";"41.634"
"2013";"Semana 33";"40.853"
"2013";"Semana 34";"40.018"
"2013";"Semana 35";"39.383"
"2013";"Semana 36";"38.751"
"2013";"Semana 37";"38.075"
"2013";"Semana 38";"37.469"
"2013";"Semana 39";"36.879"
"2013";"Semana 40";"36.817"
"2013";"Semana 41";"36.581"
"2013";"Semana 42";"36.313"
"2013";"Semana 43";"36.782"
"2013";"Semana 44";"36.722"
"2013";"Semana 45";"36.988"
"2013";"Semana 46";"36.825"
"2013";"Semana 47";"36.761"
"2013";"Semana 48";"36.377"
"2013";"Semana 49";"36.003"
"2013";"Semana 50";"35.715"
"2013";"Semana 51";"35.531"
"2013";"Semana 52";"36.912"
"2014";"Semana 1";"39.002"
"2014";"Semana 2";"40.401"
"2014";"Semana 3";"41.092"
"2014";"Semana 4";"41.881"
"2014";"Semana 5";"42.521"
"2014";"Semana 6";"44.090"
"2014";"Semana 7";"45.614"
"2014";"Semana 8";"45.438"
"2014";"Semana 9";"45.663"
"2014";"Semana 10";"46.161"
"2014";"Semana 11";"45.803"
"2014";"Semana 12";"45.477"
"2014";"Semana 13";"45.287"
"2014";"Semana 14";"46.253"
"2014";"Semana 15";"46.518"
"2014";"Semana 16";"46.421"
"2014";"Semana 17";"46.380"
"2014";"Semana 18";"46.331"
"2014";"Semana 19";"46.057"
"2014";"Semana 20";"45.748"
"2014";"Semana 21";"45.715"
"2014";"Semana 22";"45.698"
"2014";"Semana 23";"45.431"
"2014";"Semana 24";"44.965"
"2014";"Semana 25";"44.404"
"2014";"Semana 26";"43.828"
"2014";"Semana 27";"43.409"
"2014";"Semana 28";"42.866"
"2014";"Semana 29";"41.933"
"2014";"Semana 30";"40.888"
"2014";"Semana 31";"39.966"
"2014";"Semana 32";"39.017"
"2014";"Semana 33";"38.248"
"2014";"Semana 34";"37.442"
"2014";"Semana 35";"36.562"
"2014";"Semana 36";"35.710"
"2014";"Semana 37";"35.173"
"2014";"Semana 38";"34.991"
"2014";"Semana 39";"34.804"
"2014";"Semana 40";"35.074"
"2014";"Semana 41";"35.252"
"2014";"Semana 42";"35.796"
"2014";"Semana 43";"35.643"
"2014";"Semana 44";"35.344"
"2014";"Semana 45";"35.494"
"2014";"Semana 46";"36.649"
"2014";"Semana 47";"37.086"
"2014";"Semana 48";"37.993"
"2014";"Semana 49";"38.605"
"2014";"Semana 50";"38.940"
"2014";"Semana 51";"39.214"
"2014";"Semana 52";"39.350"
"2015";"Semana 1";"39.507"
"2015";"Semana 2";"39.219"
"2015";"Semana 3";"39.275"
"2015";"Semana 4";"39.561"
"2015";"Semana 5";"40.425"
"2015";"Semana 6";"41.311"
"2015";"Semana 7";"41.368"
"2015";"Semana 8";"41.911"
"2015";"Semana 9";"42.414"
"2015";"Semana 10";"42.862"
"2015";"Semana 11";"42.526"
"2015";"Semana 12";"42.735"
"2015";"Semana 13";"43.397"
"2015";"Semana 14";"43.695"
"2015";"Semana 15";"43.624"
"2015";"Semana 16";"43.745"
"2015";"Semana 17";"43.808"
"2015";"Semana 18";"44.028"
"2015";"Semana 19";"44.192"
"2015";"Semana 20";"43.687"
"2015";"Semana 21";"43.130"
"2015";"Semana 22";"42.528"
"2015";"Semana 23";"41.745"
"2015";"Semana 24";"41.337"
"2015";"Semana 25";"41.112"
"2015";"Semana 26";"40.284"
"2015";"Semana 27";"39.284"
"2015";"Semana 28";"38.434"
"2015";"Semana 29";"37.255"
"2015";"Semana 30";"36.404"
"2015";"Semana 31";"35.641"
"2015";"Semana 32";"34.857"
"2015";"Semana 33";"34.122"
"2015";"Semana 34";"33.503"
"2015";"Semana 35";"32.929"
"2015";"Semana 36";"32.366"
"2015";"Semana 37";"31.941"
"2015";"Semana 38";"31.781"
"2015";"Semana 39";"31.336"
"2015";"Semana 40";"30.858"
"2015";"Semana 41";"30.809"
"2015";"Semana 42";"30.783"
"2015";"Semana 43";"30.759"
"2015";"Semana 44";"31.052"
"2015";"Semana 45";"31.718"
"2015";"Semana 46";"31.563"
"2015";"Semana 47";"31.295"
"2015";"Semana 48";"31.441"
"2015";"Semana 49";"31.319"
"2015";"Semana 50";"31.213"
"2015";"Semana 51";"31.167"
"2015";"Semana 52";"31.118"
"2015";"Semana 53";"31.450"
"2016";"Semana 1";"33.504"
"2016";"Semana 2";"35.318"
"2016";"Semana 3";"35.519"
"2016";"Semana 4";"35.600"
"2016";"Semana 5";"35.497"
"2016";"Semana 6";"36.852"
