"","tz_time","month","year","spot_price","GP48_export","GP48_import","GP48_cogen","GP48_wind","GP48_coal","GP48_pumping_con","GP48_cogen_ng","GP48_biomass","GP48_thermosolar","GP48_PV","GP48_CC","GP48_pumping_tur","GP48_nuclear","GP48_hydro_noUGH","GP48_hydro_UGH","GP48_hydro_total","GP48_total","Demand_actual","Demand_scheduled","Demand_forecasted"
"29",2016-05-01,5,2016,25.7656451612903,-1343.42446236559,2422.93578363384,2863.07419354839,5393.84623655914,1328.43172043011,-1084.7872246696,2529.01572580645,300.529032258064,713.809289617486,1326.01416526138,1935.57540322581,471.893245469522,5235.33938172043,974.517204301075,5843.63669354839,6818.15389784946,24913.3200268817,158734.329301075,158403.935483871,158739.810483871
"30",2016-06-01,6,2016,38.8968611111111,-966.658472222222,2479.78986111111,3038.16222222222,4590.96013888889,2834.89055555556,-570.475425790754,2682.47458333333,318.941805555556,1174.39902777778,1621.98277153558,2599.53513888889,295.904007285975,6705.23111111111,730.230138888889,3310.54527777778,4040.77541666667,25538.4293055556,168383.820833333,168277.316666667,168385.251388889
"31",2016-07-01,7,2016,40.5273924731183,-1169.74341397849,2382.12190860215,3044.99650537634,4588.32728494624,4906.39166666667,-448.965597667638,2694.34032258065,347.282795698925,1156.62728494624,1165.24212651413,3210.93534946237,203.635084033613,6963.59516129032,519.974193548387,2521.75349462366,3041.72768817204,27621.7713709677,179547.673387097,179345.661290323,179581.509408602
"32",2016-08-01,8,2016,41.1553897849462,-1037.97069892473,2421.25215053763,2865.33844086022,4728.40577956989,4556.18561827957,-479.895,2516.54099462366,365.690053763441,1114.44650537634,1431.79283276451,2734.40067204301,180.675098039216,6923.04180107527,429.089919354839,2330.70147849462,2759.79139784946,26521.8022849462,173189.086021505,172975.233870968,173217.537634409
"33",2016-09-01,9,2016,43.5875555555556,-869.965555555556,2411.71402777778,2980.89263888889,3762.03708333333,5980.67180555556,-399.457340720222,2632.10263888889,349.142638888889,866.502668539326,1296.02173112339,2989.48569444444,207.603904555315,6961.84083333333,356.833333333333,1955.54513888889,2312.37847222222,26641.3044444444,173809.843055556,173648.325,173916.068055556
"34",2016-10-01,10,2016,52.8285637583893,-2148.2532885906,1734.70180722892,3101.31167785235,3256.94684563758,5756.92765100671,-657.169452449568,2749.60255033557,333.069395973154,429.151719197708,1056.45543071161,4455.42362416107,345.521205357143,6847.00966442953,276.829127516778,1922.30751677852,2199.1366442953,26333.0281879195,160240.327516779,159993.261744966,160321.848322148
"35",2016-11-01,11,2016,56.1313888888889,-1728.01680555556,2249.6485915493,3168.24402777778,5436.51375,6185.77097222222,-1010.21324324324,2812.905,338.898472222222,289.363802559415,866.46652173913,4805.98222222222,499.977516059957,5236.39763888889,453.302916666667,1608.835,2062.13791666667,27319.2848611111,172028.175,171681.991666667,171941.388888889
"36",2016-12-01,12,2016,60.485564516129,-1388.20887096774,2653.89352226721,3098.23024193548,3722.1998655914,6776.98642473118,-826.518811881188,2739.96129032258,327.968279569892,296.110672853828,800.21600877193,4456.27459677419,424.065451055662,5828.94287634409,400.266666666667,2067.31397849462,2467.58064516129,27015.8240591398,172417.129032258,172127.725806452,172456.274193548
"37",2017-01-01,1,2017,71.490752688172,-2372.44099462366,1791.82656023222,3233.22298387097,6476.16290322581,6962.07943548387,-1257.97885714286,2878.8811827957,347.882123655914,205.51504178273,844.55790513834,3956.60806451613,530.076955602537,7088.83884408602,394.772177419355,2386.93655913979,2781.70873655914,31203.9096774194,186179.139784946,185914.64516129,186133.852150538
"38",2017-02-01,2,2017,51.7402827380952,-2008.31577380952,2862.92652439024,3248.20029761905,7348.95282738095,4973.74851190476,-1070.29158878505,2893.1681547619,348.387053571429,199.522638436482,921.445398773006,2249.14791666667,456.298578199052,7076.74851190476,797.568898809524,2139.76354166667,2937.33244047619,28571.7543154762,177811.925595238,177564.696428571,177881.410714286
"39",2017-03-01,3,2017,43.1930417227456,-1467.50551816958,3432.2802435724,3196.00834454913,6538.05531628533,2411.47819650067,-755.947272727273,2849.26083445491,282.298115746972,479.498719772404,1390.82515463918,1895.84602960969,420.07015503876,7086.90242261104,777.552220726783,2735.6666218035,3513.21884253028,25615.6213997308,169827.627187079,169513.598923284,169808.804845222
"40",2017-04-01,4,2017,43.6876805555556,-1551.40402777778,2989.72069444444,3078.02375,5990.04458333333,2628.72180555556,-771.821052631579,2776.96375,236.511666666667,779.421652421652,1587.97757936508,1672.96375,361.429934924078,6848.82347222222,635.019722222222,1910.66180555556,2545.68152777778,24138.4705555556,156950.369444444,156701.258333333,156970.833333333
"41",2017-05-01,5,2017,47.1114516129032,-1263.21733870968,3194.84811827957,3121.94448924731,4778.31155913978,4760.56572580645,-575.787841191067,2775.1376344086,316.28252688172,851.487903225806,1601.40295748614,2125.60443548387,304.821413276231,5581.84663978495,553.04126344086,1935.90739247312,2488.94865591398,24293.5733870968,162616.889784946,162583.177419355,162637.422043011
"42",2017-06-01,6,2017,50.218625,-1064.54303797468,2608.51680555556,3209.10444444444,4469.79875,5917.19472222222,-640.769597069597,2849.89361111111,337.879027777778,1089.06833333333,1194.87387640449,4454.61013888889,204.291576086957,5642.80819444444,468.883333333333,1744.54513888889,2213.42847222222,27372.5823611111,180809.313888889,180663.825,180830.845833333
"43",2017-07-01,7,2017,48.634247311828,-1024.3626344086,2720.64946236559,3233.40322580645,4474.55483870968,5414.65591397849,-408.93595505618,2862.36182795699,368.718548387097,1166.79758064516,1215.37432795699,5104.35067204301,202.038872403561,5916.09287634409,373.500672043011,1198.50846774194,1572.00913978495,27625.7471774194,181025.192204301,180893.943548387,181135.268817204
"44",2017-08-01,8,2017,47.4580913978495,-999.295564516129,3441.14932795699,3033.43037634409,4349.33965053763,4002.57647849462,-467.943731778426,2696.61706989247,348.720967741936,966.522580645161,1445.44198198198,4715.99153225806,232.336363636364,6829.68333333333,302.478225806452,1167.61962365591,1470.09784946237,26105.4334677419,176075.352150538,175720,176112.963709677
"45",2017-09-01,9,2017,49.1519305555556,-1049.37804195804,2968.80388888889,3117.29222222222,3987.99861111111,3935.905,-453.942215568862,2766.81166666667,348.874027777778,871.970013947001,1537.04282700422,4524.30291666667,288.876657824934,6571.3675,245.516111111111,1330.72597222222,1576.24208333333,25062.9638888889,168724.765277778,168318.85,168781.404166667
"46",2017-10-01,10,2017,56.7728187919463,-1677.22617449664,2071.53047619048,3182.23422818792,4346.09919463087,5258.77060402685,-608.113920454545,2849.98281879195,332.140536912752,567.945503355705,1256.36996047431,5266.06013422819,321.369417475728,5795.33624161074,186.337852348993,823.793422818792,1010.13127516779,25452.3460402685,163038.190604027,162467.323489933,163140.697986577
"47",2017-11-01,11,2017,59.1886944444444,-2271.20319444444,1849.55100574713,3332.07944444444,5658.74833333333,6494.16444444444,-807.907926829268,2977.39027777778,341.977083333333,350.214090909091,1098.66208425721,6415.50083333333,500.960681818182,5018.60152777778,248.78375,871.092361111111,1119.87611111111,28561.1919444444,174530.65,174159.841666667,174471.913888889
"48",2017-12-01,12,2017,57.9404704301075,-2130.30309139785,1846.52152466368,3300.38024193548,7750.27163978495,5570.7751344086,-1378.94529262087,2962.00967741935,342.754569892473,238.489279731993,787.998196392786,4171.26922043011,584.454732510288,6774.83400537634,490.784005376344,1179.33467741935,1670.1186827957,30146.0817204301,179594.420698925,179164.766129032,179594.522849462
"49",2018-01-01,1,2018,49.9793951612903,-1284.04744623656,3100.55060728745,3311.08696236559,7249.1123655914,4071.5251344086,-1018.66016042781,2968.92002688172,312.19623655914,184.768323863636,815.539641434263,3077.53588709677,520.15601659751,6839.66196236559,730.206451612903,2163.4373655914,2893.6438172043,28121.2922043011,183060.170698925,182588.814516129,183090.052419355
